My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
3,backhand slice,left,1,right,forehand groundstoke,1,3.0,yes,out wide,1,3,out wide,Grass
4,backhand slice,right,3,right,forehand volley,1,5.0,yes,out wide,3,1,backhand groundstroke,Grass
3,forehand groundstoke,left,1,middle,backhand groundstroke,0,3.0,yes,body,1,3,body,Grass
3,backhand slice,left,1,right,backhand dropshot,1,3.0,yes,down the t,1,3,down the t,Grass
3,forehand groundstoke,left,1,right,forehand groundstoke,1,4.0,yes,body,1,3,body,Grass
3,backhand slice,left,3,right,backhand groundstroke,1,6.0,yes,out wide,2,1,backhand groundstroke,Grass
5,backhand groundstroke,middle,1,right,forehand volley,1,3.0,yes,out wide,1,5,out wide,Grass
1,backhand groundstroke,right,1,left,forehand groundstoke,0,4.0,yes,down the t,1,1,down the t,Grass
2,backhand groundstroke,middle,2,middle,forehand groundstoke,0,5.0,yes,out wide,1,1,forehand groundstoke,Grass
1,backhand groundstroke,right,1,left,forehand groundstoke,1,3.0,yes,out wide,1,1,out wide,Grass
3,forehand groundstoke,left,2,right,backhand groundstroke,0,9.0,yes,out wide,1,1,forehand groundstoke,Grass
2,backhand groundstroke,middle,2,left,forehand groundstoke,0,5.0,yes,down the t,3,1,backhand groundstroke,Grass
3,forehand groundstoke,left,1,left,backhand groundstroke,0,3.0,yes,out wide,1,3,out wide,Grass
5,backhand slice,middle,3,right,forehand volley,1,5.0,yes,out wide,2,1,backhand groundstroke,Grass
1,backhand groundstroke,right,1,left,forehand groundstoke,1,4.0,yes,body,1,1,body,Grass
5,backhand slice,middle,1,right,backhand volley,1,3.0,yes,body,1,5,body,Grass
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,0,3.0,yes,out wide,1,2,out wide,Grass
5,backhand slice,middle,1,right,forehand swing volley,0,4.0,yes,down the t,1,5,down the t,Grass
4,forehand groundstoke,right,1,left,forehand swing volley,0,3.0,yes,out wide,1,4,out wide,Grass
1,backhand groundstroke,right,3,middle,forehand groundstoke,0,5.0,yes,down the t,3,1,forehand groundstoke,Grass
5,backhand groundstroke,middle,1,right,backhand half volley,0,4.0,yes,down the t,1,5,down the t,Grass
3,backhand lob,left,3,right,backhand groundstroke,0,7.0,yes,out wide,6,3,backhand volley,Grass
1,backhand groundstroke,right,1,right,forehand groundstoke,0,3.0,yes,down the t,1,1,down the t,Grass
4,backhand slice,right,3,right,forehand volley,1,7.0,yes,down the t,5,3,forehand half volley,Grass
6,forehand groundstoke,left,1,middle,backhand volley,0,5.0,yes,down the t,5,1,forehand swing volley,Grass
2,forehand groundstoke,middle,1,left,backhand groundstroke,1,3.0,yes,out wide,1,2,out wide,Grass
3,backhand slice,left,3,left,forehand dropshot,1,6.0,yes,body,2,1,forehand groundstoke,Grass
3,forehand groundstoke,left,1,middle,forehand groundstoke,0,4.0,yes,body,1,3,body,Grass
2,backhand groundstroke,middle,3,right,forehand groundstoke,0,7.0,yes,down the t,1,2,forehand groundstoke,Grass
1,forehand groundstoke,right,1,right,forehand groundstoke,0,5.0,yes,down the t,3,1,forehand groundstoke,Grass
5,backhand slice,middle,1,left,forehand overhead,1,3.0,yes,down the t,1,5,down the t,Grass
2,backhand slice,middle,1,left,forehand groundstoke,0,3.0,yes,down the t,1,2,down the t,Grass
2,backhand slice,middle,1,left,forehand groundstoke,0,3.0,yes,down the t,1,2,down the t,Grass
1,backhand groundstroke,right,3,middle,forehand groundstoke,0,5.0,yes,out wide,3,1,backhand groundstroke,Grass
2,backhand groundstroke,middle,1,right,forehand groundstoke,0,3.0,yes,body,1,2,body,Grass
2,backhand groundstroke,middle,3,right,forehand groundstoke,0,6.0,yes,down the t,1,1,forehand groundstoke,Grass
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,10.0,yes,body,4,2,forehand overhead,Grass
3,forehand groundstoke,left,2,left,backhand groundstroke,0,13.0,yes,out wide,1,3,forehand slice,Grass
1,backhand groundstroke,right,1,left,forehand groundstoke,0,3.0,yes,body,1,1,body,Grass
1,forehand groundstoke,right,1,left,forehand groundstoke,0,4.0,yes,down the t,1,1,down the t,Grass
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Grass
1,backhand groundstroke,right,1,right,forehand groundstoke,1,4.0,yes,body,1,1,body,Grass
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,4.0,yes,down the t,1,2,down the t,Grass
3,forehand groundstoke,left,3,right,forehand groundstoke,1,7.0,yes,out wide,2,1,forehand groundstoke,Grass
5,forehand lob,middle,3,right,forehand overhead,1,6.0,yes,out wide,1,1,forehand groundstoke,Grass
1,backhand slice,right,1,right,forehand groundstoke,0,9.0,yes,down the t,3,1,backhand groundstroke,Grass
5,forehand slice,middle,3,right,forehand swing volley,1,5.0,yes,out wide,3,1,backhand slice,Grass
3,forehand groundstoke,left,2,left,backhand groundstroke,1,6.0,yes,body,2,1,forehand groundstoke,Grass
2,forehand groundstoke,middle,3,middle,forehand groundstoke,1,6.0,yes,body,2,1,forehand groundstoke,Grass
5,forehand groundstoke,middle,1,middle,forehand swing volley,1,4.0,yes,down the t,1,5,down the t,Grass
