My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
3,forehand groundstoke,left,1,left,backhand dropshot,1,4,yes,down the t,1,3,down the t,Hard
3,forehand groundstoke,left,3,right,backhand groundstroke,0,9,yes,down the t,3,3,backhand slice,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,0,3,yes,down the t,1,3,down the t,Hard
4,forehand lob,right,1,left,forehand overhead,1,5,yes,down the t,2,1,forehand groundstoke,Hard
6,backhand groundstroke,left,3,right,backhand volley,0,5,yes,down the t,2,1,forehand groundstoke,Hard
3,forehand groundstoke,left,3,left,backhand groundstroke,0,5,yes,down the t,3,1,backhand groundstroke,Hard
3,backhand groundstroke,left,1,middle,backhand groundstroke,1,4,yes,out wide,1,3,out wide,Hard
5,forehand groundstoke,middle,2,right,forehand volley,1,7,yes,out wide,3,1,backhand lob,Hard
2,backhand groundstroke,middle,3,right,forehand groundstoke,1,10,yes,down the t,3,3,backhand groundstroke,Hard
2,backhand groundstroke,middle,1,left,backhand groundstroke,0,3,yes,body,1,2,body,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,3,yes,down the t,1,2,down the t,Hard
3,backhand slice,left,3,right,backhand groundstroke,1,10,yes,down the t,3,3,backhand slice,Hard
1,backhand groundstroke,right,1,left,forehand groundstoke,1,6,yes,down the t,2,1,forehand dropshot,Hard
1,forehand groundstoke,right,3,middle,forehand groundstoke,1,14,yes,body,2,2,forehand groundstoke,Hard
1,backhand groundstroke,right,2,right,forehand groundstoke,0,5,yes,down the t,2,1,backhand groundstroke,Hard
3,backhand groundstroke,left,1,middle,backhand groundstroke,1,8,yes,down the t,1,1,forehand groundstoke,Hard
1,backhand groundstroke,right,1,right,forehand groundstoke,0,15,yes,down the t,2,1,forehand groundstoke,Hard
3,backhand groundstroke,left,3,middle,backhand groundstroke,1,6,yes,body,3,1,backhand groundstroke,Hard
1,backhand groundstroke,right,1,left,forehand groundstoke,0,3,yes,down the t,1,1,down the t,Hard
4,backhand groundstroke,right,1,left,forehand volley,0,7,yes,down the t,2,3,forehand groundstoke,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,0,3,yes,body,1,3,body,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,3,yes,down the t,1,2,down the t,Hard
1,backhand slice,right,1,right,forehand groundstoke,1,12,yes,body,2,1,backhand groundstroke,Hard
2,backhand slice,middle,1,right,forehand groundstoke,0,3,yes,out wide,1,2,out wide,Hard
2,backhand groundstroke,middle,1,middle,forehand groundstoke,0,3,yes,out wide,1,2,out wide,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,0,3,yes,body,1,2,body,Hard
5,backhand slice,middle,1,right,forehand volley,0,4,yes,down the t,1,5,down the t,Hard
3,forehand groundstoke,left,3,middle,backhand slice,0,5,yes,body,1,1,forehand groundstoke,Hard
1,backhand groundstroke,right,1,right,forehand groundstoke,1,6,yes,down the t,1,1,forehand groundstoke,Hard
3,forehand groundstoke,left,3,middle,backhand groundstroke,0,5,yes,down the t,2,1,forehand groundstoke,Hard
3,forehand groundstoke,left,2,left,backhand groundstroke,1,6,yes,body,3,1,backhand groundstroke,Hard
5,backhand groundstroke,middle,1,right,backhand volley,0,8,yes,body,2,2,backhand groundstroke,Hard
4,backhand lob,right,1,left,forehand overhead,1,5,yes,down the t,2,1,forehand groundstoke,Hard
1,backhand groundstroke,right,1,right,forehand groundstoke,0,9,yes,body,1,3,forehand groundstoke,Hard
5,backhand groundstroke,middle,1,left,forehand volley,1,6,yes,down the t,2,1,forehand groundstoke,Hard
1,backhand groundstroke,right,1,right,forehand groundstoke,0,4,yes,forehand groundstoke,1,1,forehand groundstoke,Hard
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,4,yes,down the t,1,2,down the t,Hard
1,forehand groundstoke,right,3,middle,forehand groundstoke,0,5,yes,down the t,2,1,backhand groundstroke,Hard
5,forehand lob,middle,3,right,forehand overhead,1,5,yes,out wide,2,1,forehand groundstoke,Hard
1,forehand groundstoke,right,2,right,forehand slice,0,6,yes,body,2,1,backhand groundstroke,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,0,4,yes,out wide,1,2,out wide,Hard
2,forehand slice,middle,3,right,forehand groundstoke,0,8,yes,body,3,3,backhand groundstroke,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,0,3,yes,body,1,3,body,Hard
3,forehand slice,left,3,right,backhand dropshot,1,6,yes,body,2,1,forehand groundstoke,Hard
2,forehand groundstoke,middle,1,middle,backhand groundstroke,0,3,yes,down the t,1,2,down the t,Hard
1,backhand volley,right,5,right,forehand lob,0,8,yes,down the t,1,3,forehand slice,Hard
6,forehand groundstoke,left,2,left,backhand volley,1,7,yes,down the t,3,1,backhand slice,Hard
1,backhand groundstroke,right,2,left,forehand groundstoke,1,16,yes,down the t,1,1,forehand groundstoke,Hard
5,backhand lob,middle,1,left,forehand overhead,1,9,yes,body,3,1,backhand groundstroke,Hard
1,forehand groundstoke,right,2,middle,forehand groundstoke,0,7,yes,body,3,2,backhand groundstroke,Hard
3,forehand groundstoke,left,3,right,backhand groundstroke,0,7,yes,body,3,1,backhand groundstroke,Hard
1,forehand groundstoke,right,3,middle,forehand slice,0,6,yes,down the t,3,1,backhand groundstroke,Hard
1,backhand groundstroke,right,1,right,forehand groundstoke,0,5,yes,body,3,1,backhand groundstroke,Hard
2,forehand groundstoke,middle,1,middle,forehand groundstoke,1,4,yes,body,1,2,body,Hard
5,backhand lob,middle,1,left,forehand overhead,0,5,yes,out wide,3,1,backhand groundstroke,Hard
3,forehand groundstoke,left,2,right,backhand slice,0,5,yes,body,3,1,backhand groundstroke,Hard
5,backhand groundstroke,middle,1,right,forehand half volley,0,4,yes,down the t,1,5,down the t,Hard
3,forehand groundstoke,left,3,right,backhand groundstroke,0,15,yes,down the t,2,1,backhand groundstroke,Hard
2,backhand slice,middle,1,right,forehand groundstoke,1,3,yes,down the t,1,2,down the t,Hard
1,backhand groundstroke,right,1,left,forehand groundstoke,1,7,yes,body,3,3,backhand groundstroke,Hard
3,forehand groundstoke,left,1,right,backhand dropshot,1,3,yes,down the t,1,3,down the t,Hard
3,forehand groundstoke,left,1,right,backhand groundstroke,1,3,yes,out wide,1,3,out wide,Hard
2,forehand groundstoke,middle,1,middle,forehand groundstoke,0,4,yes,body,1,2,body,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,3,yes,down the t,1,2,down the t,Hard
2,forehand groundstoke,middle,1,middle,backhand groundstroke,1,4,yes,down the t,1,2,down the t,Hard
2,backhand groundstroke,middle,1,left,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Hard
2,backhand groundstroke,middle,1,right,forehand groundstoke,0,4,yes,down the t,1,2,down the t,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,0,3,yes,body,1,3,body,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,4,yes,body,1,2,body,Hard
3,forehand groundstoke,left,3,left,backhand groundstroke,0,13,yes,body,3,1,backhand groundstroke,Hard
1,forehand groundstoke,right,1,right,forehand groundstoke,1,3,yes,body,1,1,body,Hard
5,forehand lob,middle,3,left,forehand overhead,1,13,yes,down the t,2,1,forehand groundstoke,Hard
5,backhand lob,middle,1,right,forehand overhead,1,7,yes,down the t,3,3,forehand groundstoke,Hard
1,forehand groundstoke,right,2,middle,forehand slice,0,6,yes,down the t,3,1,backhand slice,Hard
5,backhand lob,middle,1,left,forehand overhead,1,15,yes,body,2,3,forehand groundstoke,Hard
1,backhand groundstroke,right,1,left,forehand groundstoke,1,5,yes,out wide,2,1,forehand groundstoke,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,0,3,yes,body,1,3,body,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,0,4,yes,out wide,1,2,out wide,Hard
2,forehand groundstoke,middle,2,right,forehand groundstoke,0,5,yes,down the t,3,1,backhand groundstroke,Hard
2,backhand groundstroke,middle,1,right,backhand groundstroke,0,3,yes,down the t,1,2,down the t,Hard
3,forehand groundstoke,left,3,left,backhand groundstroke,0,17,yes,down the t,3,1,backhand slice,Hard
